STATE_NAME,STATE,COUNTY,COUNTY_CODE,YEAR,POPULATION,MME_Conversion_Factor,MME_per_capita
COLORADO,CO,ADAMS COUNTY,8001,2007,415746,3887932.419966843,9.351701327172945
COLORADO,CO,ADAMS COUNTY,8001,2008,424913,3371337.927437684,7.934184003402306
COLORADO,CO,ADAMS COUNTY,8001,2009,435700,3159908.834568104,7.252487570732393
COLORADO,CO,ADAMS COUNTY,8001,2010,443692,2949081.6785290954,6.6466866171332715
COLORADO,CO,ADAMS COUNTY,8001,2011,452209,3179628.368785741,7.031324827205431
COLORADO,CO,ADAMS COUNTY,8001,2012,460568,2727763.1248599677,5.922606704894755
COLORADO,CO,ADAMS COUNTY,8001,2013,469995,3202421.2084641764,6.813734632207101
COLORADO,CO,ADAMS COUNTY,8001,2014,479954,5029744.840468971,10.479639383084569
COLORADO,CO,ADAMS COUNTY,8001,2015,490448,391092.0878926525,0.7974180502166437
COLORADO,CO,ALAMOSA COUNTY,8003,2007,15180,18952.42464489625,1.2485128224569335
COLORADO,CO,ALAMOSA COUNTY,8003,2008,15300,22171.71902,1.4491319618876144
COLORADO,CO,ALAMOSA COUNTY,8003,2009,15289,26293.419352996498,1.7197605698866176
COLORADO,CO,ALAMOSA COUNTY,8003,2010,15515,25263.208906875498,1.6283086630277472
COLORADO,CO,ALAMOSA COUNTY,8003,2011,15715,30852.97796,1.9632820847918868
COLORADO,CO,ALAMOSA COUNTY,8003,2012,15685,33303.31244,2.1232586830821485
COLORADO,CO,ALAMOSA COUNTY,8003,2013,15794,30288.95673,1.917750837589496
COLORADO,CO,ALAMOSA COUNTY,8003,2014,15807,25368.344,1.6048803696476877
COLORADO,CO,ALAMOSA COUNTY,8003,2015,15894,32574.99353,2.049515133352523
COLORADO,CO,ARAPAHOE COUNTY,8005,2007,542039,2260822.940347747,4.170959913120176
COLORADO,CO,ARAPAHOE COUNTY,8005,2008,552461,1774564.940698004,3.2121089827119094
COLORADO,CO,ARAPAHOE COUNTY,8005,2009,563161,2035224.5947287795,3.613930287659798
COLORADO,CO,ARAPAHOE COUNTY,8005,2010,575124,18987097.21154712,33.013919105353146
COLORADO,CO,ARAPAHOE COUNTY,8005,2011,586433,55993720.55914697,95.48187185773476
COLORADO,CO,ARAPAHOE COUNTY,8005,2012,597052,83169179.52529985,139.29972519194283
COLORADO,CO,ARAPAHOE COUNTY,8005,2013,609089,178849007.4928169,293.6336192129835
COLORADO,CO,ARAPAHOE COUNTY,8005,2014,619681,1024341.157,1.653013657950607
COLORADO,CO,ARAPAHOE COUNTY,8005,2015,631688,5276688.724638966,8.353314808321459
COLORADO,CO,ARCHULETA COUNTY,8007,2007,12262,3092.990074,0.25224189155631216
COLORADO,CO,ARCHULETA COUNTY,8007,2008,12250,2792.873527,0.22798967568669387
COLORADO,CO,ARCHULETA COUNTY,8007,2009,12169,3043.345679,0.25009003851766787
COLORADO,CO,ARCHULETA COUNTY,8007,2010,12048,3167.496018,0.26290637600091304
COLORADO,CO,ARCHULETA COUNTY,8007,2011,12027,3307.790137,0.27503035975729606
COLORADO,CO,ARCHULETA COUNTY,8007,2012,12141,5384.44549,0.4434927509811795
COLORADO,CO,ARCHULETA COUNTY,8007,2013,12225,5770.834283329999,0.47205188411697335
COLORADO,CO,ARCHULETA COUNTY,8007,2014,12240,5838.812069,0.4770271297933415
COLORADO,CO,ARCHULETA COUNTY,8007,2015,12399,6255.926154313999,0.5045508633207516
COLORADO,CO,BACA COUNTY,8009,2007,3866,4401.836456,1.1386022908129851
COLORADO,CO,BACA COUNTY,8009,2008,3806,4282.19829,1.1251177850336311
COLORADO,CO,BACA COUNTY,8009,2009,3767,5947.554785,1.5788571235893283
COLORADO,CO,BACA COUNTY,8009,2010,3807,5860.65423,1.5394416154499606
COLORADO,CO,BACA COUNTY,8009,2011,3779,9415.965184,2.491655248396401
